FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0001,,,
Plane,면-2,10,Flatness,,,0.0002,,,
Plane,니들베이스면,11,Flatness,,,0.0010,,,
Distance,베이스두께1,16,SC,1.0054,,,,,
Distance,베이스면두께2,17,SC,1.0032,,,,,
Distance,베이스두께3,18,SC,0.9984,,,,,
Distance,베이스두께4,19,SC,1.0007,,,,,
Distance,서포트두께1,24,SC,0.4621,,,,,
Distance,서포트두께2,25,SC,0.4520,,,,,
Distance,서포트두께3,26,SC,0.4499,,,,,
Distance,서포트두께4,27,SC,0.4662,,,,,
Circle,니들내경,28,Diameter,9.9418,,,,,
Circle,니들내경,28,Radius,4.9709,,,,,
Distance,k,73,LC,0.7963,,,,,
Distance,l,74,LC,1.5912,,,,,
Distance,m,75,LC,2.3868,,,,,
Distance,n,76,LC,3.1796,,,,,
Distance,o,77,LC,3.9758,,,,,
Distance,p,78,LC,0.7917,,,,,
Distance,q,79,LC,1.5920,,,,,
Distance,r,80,LC,2.3852,,,,,
Distance,s,81,LC,3.1799,,,,,
Distance,t,82,LC,3.9787,,,,,
Distance,u,83,LC,0.7969,,,,,
Distance,v,84,LC,1.5928,,,,,
Distance,w,85,LC,2.3893,,,,,
Distance,x,86,LC,3.1809,,,,,
Distance,y,87,LC,3.9804,,,,,
Distance,z,88,LC,0.7955,,,,,
Distance,label1,89,LC,1.5912,,,,,
Distance,label2,90,LC,2.3845,,,,,
Distance,label3,91,LC,3.1806,,,,,
Distance,label4,92,LC,3.9750,,,,,
Circle,MN_out_Diameter,93,Diameter,13.6704,,,,,
Circle,MN_out_Diameter,93,Radius,6.8352,,,,,
Distance,cplusd,99,LC,10.5006,,,,,
Distance,aplusb,101,LC,12.9214,,,,,
